row,col,before_date,after_date,change_type,adjusted_confidence,confidence,seasonal_penalty,quality_factor,num_objects_marked,earliest_observation,preview_file,lat_min,lon_min,sensor,suppression_reasons
0,4,2021-06-01,2023-06-01,road_development,0.741,0.888,0.0,0.835,16,2021-06-01,change_0_4_MONSOON_2021-06-01_to_2023-06-01.png,23.406067,85.346887,Sentinel-2 L2A,low_image_quality (nodata up to 16%)
4,2,2021-06-01,2023-06-01,road_development,0.629,0.63,0.0,0.999,30,2021-06-01,change_4_2_MONSOON_2021-06-01_to_2023-06-01.png,23.220065,85.249103,Sentinel-2 L2A,no_confounders_detected
4,5,2021-06-01,2023-06-01,road_development,0.599,0.599,0.0,1.0,19,2023-06-01,change_4_5_MONSOON_2021-06-01_to_2023-06-01.png,23.221664,85.399216,Sentinel-2 L2A,no_confounders_detected
4,1,2021-06-01,2023-06-01,road_development,0.569,0.569,0.0,1.0,21,2023-06-01,change_4_1_MONSOON_2021-06-01_to_2023-06-01.png,23.2195,85.199068,Sentinel-2 L2A,no_confounders_detected
1,2,2021-06-01,2023-06-01,road_development,0.564,0.564,0.0,1.0,24,2023-06-01,change_1_2_MONSOON_2021-06-01_to_2023-06-01.png,23.358748,85.247283,Sentinel-2 L2A,no_confounders_detected
0,0,2021-06-01,2023-06-01,general_change,0.535,0.539,0.0,0.993,17,2021-06-01,change_0_0_MONSOON_2021-06-01_to_2023-06-01.png,23.40382,85.146467,Sentinel-2 L2A,no_confounders_detected
0,5,2021-06-01,2023-06-01,road_development,0.532,0.534,0.0,0.996,17,2023-06-01,change_0_5_MONSOON_2021-06-01_to_2023-06-01.png,23.406589,85.396995,Sentinel-2 L2A,no_confounders_detected
1,5,2021-06-01,2023-06-01,road_development,0.521,0.521,0.0,1.0,28,2023-06-01,change_1_5_MONSOON_2021-06-01_to_2023-06-01.png,23.360358,85.397552,Sentinel-2 L2A,no_confounders_detected
4,4,2021-06-01,2023-06-01,general_change,0.511,0.511,0.0,1.0,19,2021-06-01,change_4_4_MONSOON_2021-06-01_to_2023-06-01.png,23.221147,85.349177,Sentinel-2 L2A,no_confounders_detected
